"REF_DATE","GEO","DGUID","Country of residence","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-12","Newfoundland and Labrador","2016A000210","Anguilla","Persons","249","units","0","v126703","2.184","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Anguilla","Persons","249","units","0","v126703","2.184","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Anguilla","Persons","249","units","0","v126703","2.184","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Anguilla","Persons","249","units","0","v126703","2.184","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Anguilla","Persons","249","units","0","v126703","2.184","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Antigua and Barbuda","Persons","249","units","0","v126704","2.185","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Antigua and Barbuda","Persons","249","units","0","v126704","2.185","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Antigua and Barbuda","Persons","249","units","0","v126704","2.185","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Antigua and Barbuda","Persons","249","units","0","v126704","2.185","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Antigua and Barbuda","Persons","249","units","0","v126704","2.185","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Aruba","Persons","249","units","0","v126714","2.194","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Aruba","Persons","249","units","0","v126714","2.194","1","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Aruba","Persons","249","units","0","v126714","2.194","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Aruba","Persons","249","units","0","v126714","2.194","1","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Aruba","Persons","249","units","0","v126714","2.194","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Barbados","Persons","249","units","0","v126706","2.187","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Barbados","Persons","249","units","0","v126706","2.187","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Barbados","Persons","249","units","0","v126706","2.187","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Barbados","Persons","249","units","0","v126706","2.187","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Barbados","Persons","249","units","0","v126706","2.187","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Bahamas","Persons","249","units","0","v126705","2.186","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Bahamas","Persons","249","units","0","v126705","2.186","12","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Bahamas","Persons","249","units","0","v126705","2.186","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Bahamas","Persons","249","units","0","v126705","2.186","3","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Bahamas","Persons","249","units","0","v126705","2.186","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Belize","Persons","249","units","0","v126700","2.173","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Belize","Persons","249","units","0","v126700","2.173","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Belize","Persons","249","units","0","v126700","2.173","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Belize","Persons","249","units","0","v126700","2.173","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Belize","Persons","249","units","0","v126700","2.173","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Bermuda","Persons","249","units","0","v126707","2.188","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Bermuda","Persons","249","units","0","v126707","2.188","1","","","","0"
